,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Results of DICE-2016R model run using model Dice2016R-091916ap.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is optimal if ifopt = 1 and baseline if ifopt = 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ifopt =",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Period",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
"Interest Rate ",0.0509852338,0.0498478534,0.0487314051,0.0476452297,0.0465931283,0.0455760911,0.044593763,0.043645214,0.04272933,0.0418449991,0.0409911908,0.0401669828,0.0393715688,0.0386042652,0.0378645369,0.0371520596,0.0364668523,0.0358161563,0.0351953467,0.0346013462,0.0340319983,0.0334856999,0.0329611869,0.0324574074,0.0319734471,0.0315084851,0.0310617672,0.0306325904,0.030220293,0.0298242483,0.0294438604,0.0290785603,0.0287278024,0.028391058,0.0280678072,0.027757524,0.0274596494,0.0271735462,0.0268984176,0.0266331629,0.0263761229,0.0261246296,0.0258742116,0.0256172005,0.0257762362,0.0255301129,0.0253167105,0.0251177216,0.0249238394,0.0247307368,0.0245367597,0.0243416205,0.0241456757,0.0239495358,0.0237538664,0.0235592921,0.0233663578,0.0231755187,0.0229871441,0.0228015266,0.0226188941,0.02243942,0.0222632329,0.0220904249,0.0219210585,0.0217551721,0.0215927837,0.0214338968,0.0212785008,0.0211265752,0.0209780921,0.0208330175,0.0206913146,0.0205529461,0.0204178806,0.0202860953,0.0201575922,0.0200324139,0.019910678,0.0197926279,0.0196787398,0.0195698812,0.019467612,0.019374691,0.0192959683,0.0192399458,0.0192215174,0.0192668413,0.0194221349,0.0129057655,0.0202198846,0.0196609844,0.0192469903,0.0189334766,0.0186903377,0.0184969145,0.0183388992,0.0182063155,0.0181005326,0
"Population",7403,7853.0908476727,8264.920660351,8638.9749595589,8976.5569175846,9279.5429846998,9550.1795276372,9790.9199655999,10004.2989762545,10192.8388950882,10358.9829704432,10505.0502888009,10633.2076774518,10745.4545382608,10843.6172481003,10929.3504090389,11004.1428085735,11069.3264428809,11126.0873632638,11175.4774339743,11218.4263481746,11255.7534487625,11288.1790526787,11316.335090617,11340.774956995,11361.982524452,11380.3803185893,11396.3368766186,11410.1733315252,11422.1692739908,11432.5679497313,11441.580851653,11449.3917654819,11456.1603251381,11462.0251307443,11467.1064782147,11471.5087451911,11475.3224738905,11478.6261873501,11481.4879716884,11483.9668533978,11486.1139973812,11487.97374843,11489.5845361332,11490.9796607703,11492.1879755794,11493.2344788639,11494.1408277057,11494.925783552,11495.6055986273,11496.1943509668,11496.7042348559,11497.1458125759,11497.5282325851,11497.8594185907,11498.1462333795,11498.3946207674,11498.6097285807,11498.7960151984,11498.9573418478,11499.097052555,11499.2180433989,11499.3228224984,11499.4135619699,11499.4921429307,11499.5601944767,11499.6191274409,11499.6701636319,11499.7143611563,11499.7526363497,11499.7857827701,11499.8144876474,11499.839346129,11499.8608736175,11499.8795164551,11499.8956611769,11499.9096425242,11499.9217503848,11499.9322358023,11499.9413161817,11499.9491797959,11499.9559896903,11499.961887062,11499.9669941884,11499.9714169616,11499.9752470846,11499.9785639722,11499.9814363976,11499.9839239186,11499.9860781122,11499.9879436442,11499.9895591951,11499.9909582624,11499.9921698549,11499.993219094,11499.9941277352,11499.9949146185,11499.9955960595,11499.9961861874,11499.9966972382
"TFP",5.115,5.5357142857,5.978890926,6.4448082613,6.9336925574,7.4457169695,7.9810008155,8.5396091538,9.1215526619,9.726787805,10.3552172853,11.0066907583,11.6810058031,12.37790913,13.097098009,13.8382219009,14.6008842738,15.3846445844,16.1890204062,17.0134896847,17.8574931007,18.720436523,19.6016935319,20.500607996,21.4164966848,22.348651901,23.2963441179,24.2588246049,25.2353280311,26.2250750319,27.2272747272,28.241127183,29.2658258048,30.300559655,31.3445156884,32.3968808973,33.4568443635,34.5235992103,35.5963444528,36.6742867432,37.7566420095,38.8426369862,39.9315106367,41.0225154679,42.1149187373,43.2080035549,44.3010698797,45.3934354161,46.484436409,47.5734283446,48.6597865564,49.7429067422,50.8222053948,51.8971201506,52.9671100593,54.0316557794,55.0902597031,56.142446015,57.1877606882,58.2257714225,59.2560675276,60.2782597568,61.2919800937,62.296881496,63.292637601,64.2789423944,65.2555098482,66.2220735291,67.1783861815,68.1242192879,69.0593626096,69.98362371,70.8968274647,71.7988155581,72.6894459718,73.5685924645,74.4361440471,75.2920044541,76.1360916132,76.9683371147,77.7886856825,78.5970946475,79.3935334252,80.1779829984,80.9504354064,81.7108932408,82.4593691494,83.1958853497,83.9204731504,84.6331724842,85.3340314503,86.0231058679,86.7004588417,87.3661603381,88.0202867739,88.6629206168,89.2941499979,89.914068337,90.5227739797,91.120369847
"Output gross,gross",105.1774219755,125.3471382988,147.7712121811,172.5082287417,199.6133967632,229.1392376472,261.1360230399,295.6520020837,332.7334590189,372.4246389956,414.7675750514,459.8018427103,507.5642603489,558.0885423849,611.404895752,667.5395226306,726.5139431524,788.3439598671,853.0379107698,920.617567397,991.0980690471,1064.488628215,1140.7929883009,1220.0097332751,1302.132514259,1387.1502349617,1475.0472226665,1565.8034013499,1659.3944770552,1755.7921414186,1854.9642969032,1956.8753062637,2061.4862692457,2168.7553317999,2278.6380383987,2391.0877483671,2506.0561580927,2623.49400387,2743.3520946124,2865.5829409673,2990.1434793822,3116.9998027008,3246.1355614962,3377.5670578258,3511.3704815962,3647.731028666,3783.270211146,3920.1709618978,4058.5490331679,4198.4101879693,4339.69674034,4482.3156874898,4626.1554798205,4771.0958513624,4917.0134637688,5063.7850627081,5211.2891810884,5359.4070141035,5508.022836032,5657.0241741907,5806.3018608959,5955.7500333723,6105.2661135866,6254.7507852648,6404.1079764528,6553.2448474638,6702.0717828455,6850.5023846827,6998.4534728532,7145.8450716372,7292.6003999802,7438.6458498532,7583.9109476524,7728.3282941529,7871.8334642802,8014.364844484,8155.8633440067,8296.2719368075,8435.5348374514,8573.5960862397,8710.3970653911,8845.8722019359,8979.9413412832,9112.4964077024,9243.3778809601,9372.3333715794,9498.9444863384,9622.4972740054,9741.7513903039,9854.5244157686,9956.9293740346,10130.7468730761,10288.1921199115,10433.5143447321,10569.7203936953,10698.945654227,10822.7104973512,10942.099458605,11057.8873764627,11170.6286584539
"Change tfp",0.076,0.0741235533,0.0722934363,0.070508505,0.0687676438,0.0670697646,0.0654138062,0.0637987336,0.0622235372,0.0606872326,0.0591888595,0.0577274814,0.0563021848,0.0549120789,0.0535562948,0.0522339852,0.0509443235,0.0496865037,0.0484597395,0.0472632643,0.0460963301,0.0449582077,0.0438481856,0.04276557,0.0417096843,0.0406798686,0.039675479,0.038695888,0.0377404831,0.0368086672,0.035899858,0.0350134874,0.0341490013,0.0333058594,0.0324835348,0.0316815135,0.0308992941,0.0301363878,0.0293923178,0.0286666189,0.0279588375,0.0272685314,0.0265952689,0.0259386294,0.0252982024,0.0246735875,0.0240643945,0.0234702425,0.0228907601,0.0223255852,0.0217743646,0.0212367536,0.0207124163,0.0202010249,0.0197022598,0.0192158093,0.0187413693,0.0182786432,0.0178273419,0.0173871833,0.0169578922,0.0165392003,0.016130846,0.015732574,0.0153441354,0.0149652873,0.0145957931,0.0142354216,0.0138839478,0.0135411519,0.0132068197,0.0128807422,0.0125627155,0.012252541,0.0119500246,0.0116549775,0.0113672151,0.0110865575,0.0108128294,0.0105458597,0.0102854815,0.0100315321,0.0097838527,0.0095422885,0.0093066885,0.0090769056,0.008852796,0.0086342197,0.00842104,0.0082131238,0.0080103411,0.007812565,0.0076196721,0.0074315417,0.0072480563,0.0070691012,0.0068945644,0.006724337,0.0065583126,0.0063963873
"Capital",223,267.9421707324,318.4249409701,374.617056476,436.6775239868,504.7555419448,578.9901632183,659.5098194694,746.4318094331,839.8618217039,939.8935297493,1046.6082616843,1160.0747039077,1280.3485348328,1407.4717792332,1541.4714812076,1682.3569286491,1830.1139599282,1984.6935277522,2146.1759251929,2314.6176877863,2490.0583037477,2672.5248510764,2862.0352804002,3058.600822519,3262.2278382035,3472.9193199256,3690.6761832588,3915.4984398045,4147.3863134536,4386.3413455158,4632.3675275405,4885.4725054272,5145.6689171964,5412.9759695979,5687.4214418142,5969.0444732461,6257.8997588967,6554.0643789896,6857.6494466156,7168.8206542922,7487.8351967041,7815.1087717739,8151.3376766337,8497.7214753587,8856.3684400921,9200.5092072459,9548.3424448104,9901.3943466873,10260.3079641908,10625.214693781,10995.9586551488,11372.2299892951,11753.6425346628,12139.7779961765,12530.210244584,12924.518039087,13322.2911790846,13723.1330467843,14126.661265825,14532.5074443026,14940.3165643868,15349.746274637,15760.4662235438,16172.1575013512,16584.5121871427,16997.2329882031,17410.0329474704,17822.6352650068,18234.7730571794,18646.1891973938,19056.636103951,19465.8754283291,19873.6776014312,20279.8210725037,20684.0910432752,21086.27713989,21486.1696348616,21883.5525003448,22278.1913104747,22669.8117904069,23058.0624528526,23442.4479866372,23822.2123885779,24196.1325023738,24562.1541782907,24916.7503135098,25253.7865198392,25562.5112847895,25823.975217263,26004.5880559035,26820.103170143,27506.2509952175,28097.2375411124,28618.137692539,29087.2089780322,29517.6831723189,29919.1183618766,30298.4029037311,30660.4930138537
"s",0.2595552124,0.2562495007,0.2533876946,0.2509190775,0.2487968588,0.2469788293,0.2454274435,0.244109602,0.2429962915,0.2420621656,0.2412851105,0.2406458138,0.2401273344,0.239714654,0.2393941675,0.2391530304,0.2389782136,0.2388549972,0.2387952653,0.2387906404,0.2388344377,0.2389212053,0.2390464247,0.2392063073,0.239397653,0.239617747,0.2398642838,0.2401353072,0.2404291649,0.2407444714,0.2410800799,0.2414350625,0.2418086993,0.2422004808,0.2426101302,0.2430376603,0.2434834859,0.243948641,0.244435175,0.2449468684,0.2454905161,0.2460782126,0.2467314067,0.2474880643,0.2484152591,0.2479262267,0.2479433457,0.2479990963,0.248075296,0.2481614903,0.2482517707,0.2483428723,0.2484330463,0.2485213999,0.2486075142,0.2486912258,0.2487725032,0.2488513797,0.2489279172,0.2490021868,0.2490742606,0.2491442074,0.249212091,0.249277971,0.2493419024,0.2494039364,0.2494641199,0.2495224978,0.2495791102,0.2496339929,0.2496871761,0.2497386801,0.2497885102,0.2498366459,0.2498830236,0.2499275013,0.2499698078,0.25000944,0.2500454931,0.2500763585,0.2500992124,0.2501090976,0.2500973524,0.2500488542,0.2499372266,0.2497164669,0.2493062805,0.2485662542,0.2472499081,0.244921529,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457,0.2582781457
"I",27.2525801465,32.0415537149,37.3180626165,43.0939796616,49.3803661612,56.1874126511,63.5243835981,71.3995712269,79.8202605103,88.7927045303,98.3221062605,108.4125982931,119.0672045845,130.2877545799,142.0746940576,154.4266867422,167.339803426,180.8059071108,194.8468487981,209.4644531438,224.6599410574,240.4340646593,256.7872162176,273.7195219591,291.2309277028,309.321280749,327.9904108072,347.2382120704,367.0647279467,387.4702402569,408.4553652854,430.021160818,452.1692514933,474.9019861365,498.2226523053,522.1357972138,546.6477375779,571.7674300717,597.5079942932,623.889446512,650.9436577102,678.7233932944,707.3188195978,736.8876181367,767.7097772215,794.1824414112,823.1067526047,852.6387232903,882.7267232831,913.3210888012,944.3751261236,975.8452726033,1007.6908896568,1039.8739231767,1072.3585471243,1105.1108383525,1138.0985044368,1171.2906656893,1204.6576866059,1238.1710466891,1271.8032487201,1305.5277493064,1339.3189091667,1373.1519602022,1407.002980834,1440.8488773634,1474.6673680533,1508.436981971,1542.1370319091,1575.747610972,1609.2495689564,1642.6244750614,1675.8545639514,1708.9226371269,1741.8118996345,1774.5056439493,1806.9867693056,1839.2368385311,1871.2344789092,1902.9525206969,1934.353057747,1965.3785377705,1995.9362553897,2025.8708618085,2054.9159793928,2082.6087785542,2108.138925443,2130.0805765379,2145.9135857415,2151.1577859724,2292.9307938025,2333.8496548559,2371.0142781893,2405.3999793775,2437.696970393,2468.3954285761,2497.8443250908,2526.2925404453,2553.9178166459,2580.9203421299
"Y gross net",104.9980839532,125.0415695797,147.2779947729,171.7464138261,198.4790567444,227.5019673684,258.8354933419,292.4946672777,328.4895123252,366.8252983011,407.5027671739,450.5183392216,495.864303169,543.5289838135,593.4968663129,645.748632155,700.2610177095,757.0063228576,816.0023018015,877.2422252603,940.7155316802,1006.4088115847,1074.3065190252,1144.3915100121,1216.6454733244,1291.0492963718,1367.5833938506,1446.2280171187,1526.9635560298,1609.7708409752,1694.6314507271,1781.5280307637,1870.4446272491,1961.367043951,2054.2832341864,2149.1837491142,2246.0622822935,2344.9163793739,2445.7484474185,2548.5673011363,2653.3906867511,2760.2495859885,2869.1957618663,2980.3151973701,3093.7522075683,3209.7527711361,3325.8768822154,3443.9112566531,3563.8522649893,3685.6233393245,3809.1101225232,3934.1806549414,4060.696659289,4188.5196066196,4317.5137834958,4447.5476842047,4578.4945032258,4710.2321751627,4842.6432112679,4975.6144661354,5109.0369003219,5242.805371204,5376.8184592699,5510.9783300713,5645.1906285398,5779.3643979476,5913.412016918,6047.249148283,6180.794702015,6313.9707920989,6446.7027012032,6578.9188383927,6710.5506846485,6841.5327216374,6971.8023266829,7101.2996138397,7229.9671641955,7357.749606526,7484.5928731862,7610.4429306614,7735.2435584643,7858.9325122184,7981.4347187244,8102.6503748943,8222.4339592216,8340.5572626061,8456.6441015581,8570.0546299183,8679.6791446833,8783.5666633988,8878.2434370842,9036.6462078262,9180.5140918773,9313.6235504264,9438.6470714878,9557.4825792102,9671.4812312952,9781.6066265974,9888.5469128547,9992.7941451697
"damages",0.1793380222,0.305568719,0.4932174083,0.7618149156,1.1343400189,1.6372702788,2.3005296979,3.1573348059,4.2439466938,5.5993406945,7.2648078776,9.2835034886,11.6999571799,14.5595585715,17.9080294391,21.7908904756,26.2529254429,31.3376370095,37.0356089683,43.3753421368,50.3825373669,58.0798166303,66.4864692757,75.618223263,85.4870409347,96.1009385899,107.4638288159,119.5753842312,132.4309210254,146.0213004434,160.3328461761,175.3472755,191.0416419966,207.3882878489,224.3548042124,241.9039992529,259.9938757992,278.5776244962,297.6036471939,317.015639831,336.7527926311,356.7502167123,376.9397996299,397.2518604556,417.6182740279,437.9782575299,457.3933289306,476.2597052447,494.6967681786,512.7868486448,530.5866178168,548.1350325485,565.4588205315,582.5762447427,599.499680273,616.2373785034,632.7946778626,649.1748389408,665.3796247642,681.4097080553,697.264960574,712.9446621683,728.4476543167,743.7724551935,758.9173479129,773.8804495162,788.6597659275,803.2532363996,817.6587708383,831.8742795383,845.8976987771,859.7270114605,873.3602630039,886.7955725155,900.0311375973,913.0652306443,925.8961798112,938.5223302815,950.9419642652,963.1531555783,975.1535069267,986.9396897175,998.5066225588,1009.8460328081,1020.9439217386,1031.7761089733,1042.3003847802,1052.4426440871,1062.0722456206,1070.9577523698,1078.6859369503,1094.1006652499,1107.6780280342,1119.8907943056,1131.0733222075,1141.4630750167,1151.229266056,1160.4928320076,1169.3404636081,1177.8345132841
"damfrac",0.0017051,0.0024377798,0.0033377097,0.0044161077,0.0056826848,0.0071453073,0.0088096988,0.0106792269,0.0127547939,0.0150348288,0.0175153708,0.0201902268,0.023051184,0.0260882592,0.0292899674,0.032643596,0.0361354736,0.0397512236,0.0434161349,0.0471154839,0.0508350676,0.0545612373,0.0582809238,0.0619816557,0.0656515677,0.0692794019,0.0728545006,0.076366793,0.0798067746,0.0831654824,0.0864344648,0.089605748,0.0926717994,0.0956254884,0.0984600452,0.1011690179,0.1037462289,0.1061857294,0.108481754,0.1106286736,0.1126209478,0.1144530764,0.1161195497,0.117614796,0.1189331277,0.1200686822,0.1208989322,0.1214895243,0.1218900558,0.1221383394,0.1222635243,0.1222883596,0.1222308292,0.1221053324,0.1219235385,0.1216950109,0.1214276652,0.1211281094,0.1208019002,0.1204537381,0.1200876181,0.1197069484,0.1193146442,0.1189132039,0.1185047708,0.118091185,0.1176740255,0.1172546466,0.1168342083,0.1164137021,0.1159939737,0.1155757417,0.1151596147,0.1147461053,0.1143356426,0.113928583,0.1135252199,0.1131257916,0.1127304887,0.1123394601,0.1119528191,0.1115706476,0.1111930006,0.1108199101,0.1104513885,0.1100874316,0.1097280215,0.1093731299,0.1090227212,0.1086767567,0.1083352002,0.1079980261,0.1076649828,0.1073359136,0.1070107136,0.1066893049,0.1063716216,0.1060576022,0.1057471851,0.1054403068
"abatement",0.0008469567,0.0011163368,0.001456054,0.0018813438,0.0024103595,0.0030646975,0.0038700128,0.0048567365,0.006060914,0.0075251821,0.0092999071,0.0114445092,0.0140290035,0.0171357888,0.020861725,0.0253205382,0.0306455985,0.0369931147,0.0445457752,0.0535182316,0.0641614182,0.0767684811,0.091681642,0.1093001431,0.1300894423,0.1545918531,0.1834388551,0.2173653341,0.2572260506,0.304014685,0.3588858564,0.4231805794,0.4984556922,0.5865178761,0.6894629847,0.8097215233,0.9501112639,1.1138981712,1.3048670691,1.5274038501,1.7865916191,2.0883241701,2.4394420276,2.8478997607,3.3229800452,6.4513211506,6.1396648917,5.8393602476,5.5506629934,5.2735482599,5.0078461466,4.7533136465,4.509671903,4.2766249682,4.0538689434,3.8410962988,3.6379978978,3.444264021,3.259585018,3.0836518699,2.9161567708,2.7567937569,2.6052593715,2.461253345,2.3244792686,2.19464524,2.0714644679,1.9546558241,1.8439443389,1.7390616312,1.639746279,1.5457441263,1.4568085291,1.3727005438,1.2931890597,1.218050878,1.147070736,1.0800412821,1.0167629884,0.9570439981,0.9006998852,0.8475533013,0.7974334417,0.7501752485,0.7056181882,0.6636043464,0.6239754068,0.5865677802,0.5512046215,0.517682473,0.4857482591,0.4590826147,0.4331686316,0.4082456572,0.3844425304,0.3618172873,0.3403828667,0.3201238476,0.3010073795,0
"sigma",0.3503200274,0.3246822788,0.3010349411,0.2792152334,0.2590743238,0.2404760815,0.2232959463,0.2074199022,0.1927435454,0.1791712386,0.1666153423,0.1549955162,0.1442380842,0.1342754572,0.1250456074,0.1164915899,0.108561108,0.1012061158,0.0943824573,0.0880495373,0.0821700206,0.0767095582,0.0716365379,0.0669218555,0.0625387068,0.0584623973,0.0546701686,0.0511410389,0.0478556582,0.0447961753,0.0419461158,0.0392902714,0.0368145974,0.0345061197,0.0323528491,0.030343703,0.0284684333,0.0267175606,0.0250823138,0.0235545746,0.022126826,0.0207921062,0.0195439653,0.0183764257,0.0172839457,0.0162613863,0.0153039805,0.0144073047,0.0135672531,0.0127800133,0.0120420446,0.0113500572,0.0107009941,0.0100920133,0.009520472,0.008983912,0.008480046,0.0080067454,0.0075620281,0.0071440486,0.0067510875,0.0063815426,0.0060339209,0.00570683,0.0053989716,0.0051091344,0.0048361882,0.004579078,0.0043368188,0.0041084907,0.0038932344,0.0036902469,0.0034987776,0.0033181248,0.0031476322,0.002986686,0.0028347116,0.0026911716,0.0025555625,0.0024274129,0.0023062815,0.0021917545,0.0020834442,0.0019809872,0.0018840428,0.0017922912,0.0017054327,0.0016231859,0.0015452866,0.0014714869,0.001401554,0.001335269,0.0012724265,0.0012128333,0.0011563078,0.0011026794,0.0010517874,0.0010034808,0.0009576175,0.0009140636
"Forcings",2.4633955007,2.7387662708,3.0142241672,3.2903043884,3.5667096084,3.8426942653,4.1173105504,4.389561321,4.6584906081,4.9232328685,5.1830355964,5.437265299,5.6854035883,5.9270378433,6.1618493084,6.3896003976,6.6101222456,6.8233030497,6.9996656609,7.1685932393,7.3300920237,7.4841933833,7.6309465477,7.7704129791,7.9026618939,8.0277666217,8.145801592,8.2568398027,8.3609506591,8.4581981008,8.5486389457,8.6323213965,8.7092836584,8.7795526268,8.843142605,8.9000540166,8.9502720765,8.993765388,9.0304844281,9.060359884,9.0833007948,9.0991924446,9.1078939321,9.1092353068,9.1030140937,9.0889908932,9.0326012734,8.9848477936,8.9431781377,8.9058248783,8.8715689193,8.8395715836,8.8092568241,8.7802292587,8.7522174477,8.7250347936,8.6985526623,8.6726819445,8.6473604266,8.6225441537,8.5982015291,8.5743092903,8.5508497674,8.5278090203,8.5051755759,8.4829395744,8.4610921965,8.4396252802,8.4185310678,8.3978020414,8.377430818,8.3574100845,8.3377325606,8.3183909797,8.299378081,8.2806866102,8.262309325,8.2442390036,8.2264684555,8.2089905335,8.1917981477,8.174884281,8.1582420084,8.1418645218,8.125745165,8.1098774863,8.0942553212,8.0788729259,8.0637251986,8.048808051,8.0341190412,8.0196584708,8.0053532119,7.9912209223,7.9772698884,7.9635027129,7.9499186061,7.9365148045,7.9232874404,7.9102320709
"Other Forcings",0.5,0.5294117647,0.5588235294,0.5882352941,0.6176470588,0.6470588235,0.6764705882,0.7058823529,0.7352941176,0.7647058824,0.7941176471,0.8235294118,0.8529411765,0.8823529412,0.9117647059,0.9411764706,0.9705882353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Period utilty",0.4509295141,0.4915194557,0.5288092283,0.5631086759,0.594703298,0.6238512335,0.6507838194,0.6757076392,0.6988070491,0.7202467144,0.7401739575,0.7587208521,0.776006058,0.7921364199,0.807208363,0.8213091265,0.8345178765,0.8469067518,0.8585455239,0.869495383,0.8798107247,0.8895403568,0.898728358,0.90741472,0.9156358504,0.9234249814,0.9308125112,0.9378262963,0.9444919046,0.9508328378,0.9568707274,0.9626255096,0.96811558,0.973357932,0.9783682789,0.9831611618,0.9877500409,0.9921473699,0.9963646477,1.0004124389,1.0043003447,1.0080368959,1.011629313,1.0150830408,1.0184008971,1.0217138569,1.0248995052,1.0279718208,1.0309386982,1.0338049673,1.0365740146,1.0392486241,1.0418313891,1.0443248951,1.0467317845,1.049054764,1.0512965873,1.0534600293,1.0555478604,1.0575628237,1.059507617,1.061384878,1.0631971749,1.0649469987,1.0666367586,1.0682687795,1.0698453011,1.0713684772,1.0728403776,1.074262989,1.075638217,1.0769678893,1.0782537576,1.0794975014,1.0807007317,1.081864995,1.082991779,1.0840825206,1.0851386168,1.0861614427,1.0871523785,1.0881128578,1.0890444457,1.0899489749,1.0908287776,1.0916870862,1.0925287271,1.0933613261,1.0941974143,1.0950581429,1.0946499337,1.0956613364,1.0965579132,1.0973694879,1.0981165906,1.0988135307,1.0994703922,1.1000943573,1.1006905987,1.1012644301
"Consumption",77.7446568501,92.9988995281,109.9584761024,128.6505528206,149.0962802237,171.3114900198,195.307239731,221.0902393143,248.6631909009,278.0250685888,309.1713610062,342.0942964192,376.783069581,413.2240934447,451.4013105302,491.2966248747,532.890568685,576.1634226321,621.1109072282,667.7242538849,715.9914292046,765.8979784443,817.4276211656,870.5626879099,925.2844561792,981.5734237698,1039.4095441883,1098.7724397143,1159.6416020325,1221.9965860333,1285.8171995853,1351.0836893663,1417.7769200635,1485.8785399384,1555.3711188963,1626.238230377,1698.4644334517,1772.0350511309,1846.9355860562,1923.1504507742,2000.6604374218,2079.437868524,2159.4375002409,2240.5796794728,2322.7194503016,2409.1190085743,2496.6304647189,2585.4331731153,2675.5748787128,2767.0287022635,2859.7271502529,2953.5820686916,3048.4960977292,3144.3690584748,3241.1013674281,3338.5957495534,3436.7580008912,3535.4972454524,3634.725939644,3734.3597675764,3834.317494831,3934.5208281407,4034.8942907317,4135.3651165241,4235.8631684373,4336.3208753442,4436.6731843968,4536.8575104879,4636.813725767,4736.4841194958,4835.8133859678,4934.748619205,5033.239312168,5131.2373839667,5228.6972379887,5325.5759190125,5421.8333241539,5517.4327267128,5612.3416312886,5706.5333659663,5799.9898008321,5892.7064211466,5984.701029893,6076.0293378372,6166.8123616406,6257.2848797055,6347.8812007084,6439.3874856002,6533.2143543203,6631.8911949534,6584.8268950226,6702.3374703555,6809.0666450564,6907.8153253918,7000.5656585645,7088.7253333468,7173.2965233377,7254.9939623045,7334.3280888293,7411.8738030398
"Objective",4485.7434565263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Land emissions",2.6,2.301,2.036385,1.802200725,1.5949476416,1.4115286628,1.2492028666,1.105544537,0.9784069152,0.86589012,0.7663127562,0.6781867892,0.6001953084,0.531172848,0.4700879705,0.4160278539,0.3681846507,0.3258434158,0.288371423,0.2552087094,0.2258597078,0.1998858414,0.1768989696,0.1565555881,0.1385516955,0.1226182505,0.1085171517,0.0960376793,0.0849933461,0.0752191113,0.0665689135,0.0589134885,0.0521384373,0.046142517,0.0408361276,0.0361399729,0.031983876,0.0283057303,0.0250505713,0.0221697556,0.0196202337,0.0173639068,0.0153670575,0.0135998459,0.0120358636,0.0106517393,0.0094267893,0.0083427085,0.007383297,0.0065342179,0.0057827828,0.0051177628,0.0045292201,0.0040083598,0.0035473984,0.0031394476,0.0027784111,0.0024588938,0.002176121,0.0019258671,0.0017043924,0.0015083873,0.0013349227,0.0011814066,0.0010455449,0.0009253072,0.0008188969,0.0007247237,0.0006413805,0.0005676217,0.0005023452,0.0004445755,0.0003934494,0.0003482027,0.0003081594,0.000272721,0.0002413581,0.0002136019,0.0001890377,0.0001672984,0.0001480591,0.0001310323,0.0001159636,0.0001026278,9.08256E-05,8.03806E-05,7.11368E-05,6.29561E-05,5.57162E-05,4.93088E-05,4.36383E-05,3.86199E-05,3.41786E-05,3.02481E-05,2.67695E-05,2.3691E-05,2.09666E-05,1.85554E-05,1.64215E-05,1.45331E-05
