Region;Sector;Material;Scenario;Unit;2020;2030;2050
China;All sectors;Ir;HDS;t/yr;0;2,1;9,9
China;All sectors;La;LDS;t/yr;0;0;0
China;All sectors;La;HDS;t/yr;0;0;0
China;All sectors;Li;LDS;t/yr;4980,478976;18779,36161;104543
China;All sectors;Li;HDS;t/yr;4980,478976;20967,48986;152783
China;All sectors;Mg;LDS;t/yr;8477,351762;6327,558648;0
China;All sectors;Mg;HDS;t/yr;8477,351762;9017,852434;0
China;All sectors;Mn;LDS;t/yr;65935,06625;45487,86272;107341,7273
China;All sectors;Mn;HDS;t/yr;65935,06625;66774,13797;178512,0426
China;All sectors;Mo;LDS;t/yr;7554,120827;4168,745483;8026,404023
China;All sectors;Mo;HDS;t/yr;7554,120827;6878,57306;17152,3769
China;All sectors;Nb;LDS;t/yr;2,316077695;1,747847306;0
China;All sectors;Nb;HDS;t/yr;2,316077695;2,371991599;0
China;All sectors;Nd;LDS;t/yr;4719,072106;2939,447764;6229,440677
China;All sectors;Nd;HDS;t/yr;4719,072106;5509,444467;17349,26095
China;All sectors;Ni;LDS;t/yr;53258,78454;106145,8495;498367,771
China;All sectors;Ni;HDS;t/yr;53356,48573;123362,9287;760816,0804
China;All sectors;P;LDS;t/yr;1204;43983;352348
China;All sectors;P;HDS;t/yr;1204;64737;584855
China;All sectors;Pb;LDS;t/yr;1819,425726;2182,519695;2303,981144
China;All sectors;Pb;HDS;t/yr;1819,425726;2775,314138;3333,654118
China;All sectors;Pd;LDS;t/yr;2,462899555;3,849249863;1,6
China;All sectors;Pd;HDS;t/yr;2,462899555;6,360769754;6,5
China;All sectors;Plastic;LDS;t/yr;759298,1405;777040,8462;1293327,844
China;All sectors;Plastic;HDS;t/yr;759298,1405;1064660,752;2123440,762
China;All sectors;Pr;LDS;t/yr;722,3090098;399,7168193;484,8411395
China;All sectors;Pr;HDS;t/yr;722,3090098;819,2183583;1992,456187
China;All sectors;Pt;LDS;t/yr;0,300905073;1,034732462;13,77194568
China;All sectors;Pt;HDS;t/yr;0,300905073;2,411461105;23,08890833
China;All sectors;Ru;LDS;t/yr;0,010287603;0,261779901;0,6
China;All sectors;Ru;HDS;t/yr;0,010287603;0,606073777;2,37
China;All sectors;Sb;LDS;t/yr;23,80728468;77,88230542;0
China;All sectors;Sb;HDS;t/yr;23,80728468;118,4721379;0
China;All sectors;Se;LDS;t/yr;25,37011102;30,85322112;35,1570456
China;All sectors;Se;HDS;t/yr;25,37011102;39,06953123;50,86909247
China;All sectors;Si;LDS;t/yr;163586,8293;196816,9545;207358,3029
China;All sectors;Si;HDS;t/yr;163586,8293;249794,6571;300028,8707
China;All sectors;Sn;LDS;t/yr;3406,576385;3961,354517;3839,968573
China;All sectors;Sn;HDS;t/yr;3406,576385;5075,215452;5556,090197
China;All sectors;Sr;LDS;t/yr;309,2676256;232,6145715;0
China;All sectors;Sr;HDS;t/yr;309,2676256;322,4977248;0
China;All sectors;Steel;LDS;t/yr;12099260,02;9504654,679;17215456,99
China;All sectors;Steel;HDS;t/yr;12099260,02;13745337,43;30624072,93
China;All sectors;Synthetic rubber;LDS;t/yr;21,22848;137,9396488;0
China;All sectors;Synthetic rubber;HDS;t/yr;21,22848;209,0623908;0
China;All sectors;Ta;LDS;t/yr;42,63400806;32,03502922;0
China;All sectors;Ta;HDS;t/yr;42,63400806;45,97394797;0
China;All sectors;Tb;LDS;t/yr;182,2355354;96,90098235;130,0763664
China;All sectors;Tb;HDS;t/yr;182,2355354;188,6151888;439,8396624
China;All sectors;Te;LDS;t/yr;174,8813478;212,6775436;242,3446832
